Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
61,1221,68,Jun 12,TOR,@,MIL,L4-5,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.198,.287,.295,.582,5,2.04,-0.228,1.19,-0.08%,-1.65,0.00,0.00,RF
62,1222,69,Jun 14,TOR,,CLE,L1-3,CG,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.197,.287,.293,.580,6,1.12,-0.010,.61,0.00%,0.00,2.00,3.00,RF
63,1223,70,Jun 15,TOR,,CLE,W5-0,CG,4,3,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.198,.291,.293,.584,6,.53,0.083,.26,0.02%,0.73,11.00,15.90,RF
64,1224,71,Jun 16,TOR,,CLE,W7-6,CG,4,3,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,.196,.290,.289,.579,5,1.03,-0.136,.55,-0.04%,-1.76,4.00,6.20,DH
65,1225,72,Jun 17,TOR,,BOS,L3-7,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.197,.289,.289,.578,6,.95,0.046,.57,0.02%,0.23,3.00,3.00,RF
66,1226,73,Jun 18,TOR,,BOS,L3-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.196,.288,.288,.576,6,3.33,-0.078,1.84,-0.03%,-0.29,0.00,0.00,PH RF
67,1227,74,Jun 19,TOR,,BOS,L3-7,CG,4,4,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,.197,.288,.291,.579,6,1.34,-0.090,.64,-0.03%,-0.75,5.00,6.00,RF
68,1228,75,Jun 21,TOR,@,CLE,L1-7,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.194,.284,.286,.570,6,.26,-0.028,.10,-0.01%,-1.89,0.00,0.00,RF
69,1229,76,Jun 22,TOR,@,CLE,L3-6,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.191,.283,.283,.566,4,.75,-0.031,.29,-0.01%,-0.36,2.00,3.00,RF
70,1230,77,Jun 23,TOR,@,CLE,L5-6,CG,5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.191,.282,.285,.567,5,2.58,-0.205,.79,-0.04%,-0.54,5.00,6.00,RF
71,1231,78,Jun 24,TOR,@,BOS,L6-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.188,.278,.281,.559,5,1.84,-0.259,.55,-0.05%,-2.39,0.00,0.00,RF
72,1232,79,Jun 25,TOR,@,BOS,W9-4,CG,5,5,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.196,.283,.298,.581,5,.50,0.039,.13,0.01%,1.05,22.00,28.20,RF
73,1233,80,Jun 27,TOR,,NYY,W9-2,GS-9,4,3,2,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,.205,.290,.328,.619,5,.38,0.137,.11,0.02%,4.78,39.00,54.40,RF
74,1234,81,Jun 28,TOR,,NYY,L5-16,GS-7,3,2,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,.207,.294,.330,.624,5,1.82,0.141,.55,0.03%,1.58,9.00,13.00,RF
75,1235,82,Jun 29,TOR,,NYY,W9-3,CG,4,3,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,.212,.300,.341,.641,5,.40,0.066,.10,0.01%,0.77,14.00,18.20,RF
76,1236,83,Jun 30,TOR,,NYY,L1-8,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.214,.303,.341,.643,5,.73,-0.060,.20,-0.01%,-0.36,5.00,6.00,RF
77,1237,84,Jul 1,TOR,,HOU,L1-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,.214,.302,.339,.641,4,2.26,-0.186,.57,-0.03%,-0.56,8.00,9.00,RF
78,1238,85,Jul 2,TOR,,HOU,W7-6,CG,4,4,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.215,.301,.349,.650,5,.81,0.110,.16,0.01%,1.87,18.00,25.70,RF
79,1239,86,Jul 3,TOR,,HOU,L2-9,CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,.213,.304,.346,.650,1,.80,-0.006,.17,0.00%,-0.03,6.00,9.20,DH
80,1240,87,Jul 4,TOR,,HOU,L3-5,CG,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.217,.306,.348,.654,1,.92,0.064,.17,0.01%,0.56,8.00,9.20,RF
81,1241,88,Jul 5,TOR,@,SEA,L1-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.216,.305,.347,.652,9,.99,-0.025,.14,0.00%,-0.09,0.00,0.00,PH RF
82,1242,89,Jul 6,TOR,@,SEA,W5-4,CG,5,3,2,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.221,.313,.354,.666,1,.73,0.091,.09,0.01%,1.30,16.00,21.40,RF
83,1243,90,Jul 7,TOR,@,SEA,W5-4,CG(10),5,5,1,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,.221,.311,.361,.672,1,1.41,0.201,.21,0.02%,1.59,18.00,25.70,RF
84,1244,91,Jul 9,TOR,@,SFG,L3-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.218,.307,.356,.664,1,1.11,-0.153,.16,-0.01%,-1.43,0.00,0.00,RF
85,1245,92,Jul 10,TOR,@,SFG,W10-6,CG,5,5,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,.221,.309,.364,.672,1,.82,-0.045,.10,0.00%,1.80,16.00,22.50,RF
86,1246,93,Jul 11,TOR,@,SFG,W5-3,CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.221,.310,.362,.672,1,.61,-0.017,.09,0.00%,-0.18,7.00,9.20,RF
87,1247,94,Jul 12,TOR,@,ARI,L4-5,CG,4,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.225,.312,.370,.682,1,1.04,0.164,.19,0.02%,1.19,13.00,15.20,RF
88,1248,95,Jul 13,TOR,@,ARI,L1-12,GS-8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.222,.309,.366,.674,1,.71,-0.112,.10,-0.01%,-1.40,0.00,0.00,RF
89,1249,96,Jul 14,TOR,@,ARI,W8-7,CG,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.310,.366,.676,1,.58,0.002,.06,0.00%,-0.17,6.00,6.00,DH
90,1250,97,Jul 19,TOR,,DET,L4-5,CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.225,.309,.374,.683,1,1.11,0.106,.18,0.01%,1.01,16.00,22.20,RF
91,1251,98,Jul 20,TOR,,DET,L3-7,CG,4,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.225,.309,.372,.681,1,.47,-0.030,.05,0.00%,0.36,5.00,6.50,RF
92,1252,99,Jul 21,TOR,,DET,W5-4,CG,4,4,3,3,1,0,2,3,0,0,1,0,0,0,0,0,0,0,.231,.313,.398,.711,1,.91,0.308,.08,0.02%,2.93,37.00,50.10,RF
93,1253,100,Jul 23,TOR,,TBR,L2-4,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.229,.310,.393,.703,1,.99,-0.095,.11,-0.01%,-0.84,0.00,0.00,RF
94,1254,101,Jul 24,TOR,,TBR,W6-3,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,.227,.309,.390,.699,1,1.16,0.039,.10,0.00%,-0.15,9.00,12.20,RF
95,1255,102,Jul 25,TOR,,TBR,L0-13,GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.225,.307,.386,.693,1,.57,-0.043,.07,0.00%,-0.61,0.00,0.00,RF
96,1256,103,Jul 26,TOR,,TEX,W6-5,CG,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.227,.308,.386,.694,1,1.23,0.030,.10,0.00%,0.21,10.00,12.40,RF
97,1257,104,Jul 27,TOR,,TEX,W7-3,CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,.227,.307,.384,.690,1,.69,-0.043,.06,0.00%,-0.63,13.00,15.00,RF
98,1258,106 (1),Jul 29 (1),TOR,@,BAL,L5-11,GS-6,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.227,.306,.382,.688,1,.56,0.002,.09,0.00%,-0.36,3.00,3.00,RF
99,1259,107,Jul 29 (2),TOR,@,BAL,W8-4,CG,6,3,2,1,0,0,0,1,3,0,1,0,0,0,0,0,1,0,.228,.311,.382,.693,1,.90,0.088,.11,0.01%,1.51,20.00,27.90,DH
100,1260,108,Jul 30,TOR,@,BAL,L2-6,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.226,.311,.379,.690,1,.45,-0.033,.06,0.00%,-0.30,2.00,3.00,DH
