visitor_ab,visitor_sac_hits,visitor_sac_flies,visitor_hbp,visitor_walks,visitor_int_walks,visitor_,home_ab,home_sac_hits,home_sac_flies,home_hbp,home_walks,home_int_walks,visitor_pa,home_pa
31,0,0,1,6,0,0,30,1,0,0,7,0,38,38
37,0,0,0,4,0,0,37,0,0,0,1,0,41,38
37,0,2,0,5,0,0,28,0,0,0,6,0,44,34
38,0,1,0,7,0,0,36,0,1,0,2,0,46,39
32,0,0,1,0,0,0,29,0,0,0,6,0,33,35
37,1,1,1,3,0,0,33,0,1,0,3,0,43,37
33,0,0,0,1,0,0,32,0,0,1,5,0,34,38
32,0,0,0,3,0,0,34,0,0,1,2,0,35,37
36,0,0,0,1,0,0,34,0,2,1,4,0,37,41
41,0,0,0,2,0,0,31,0,0,1,1,0,43,33
34,0,0,0,1,0,0,31,1,2,1,2,0,35,37
35,0,0,0,3,0,0,33,0,0,2,3,0,38,38
35,0,1,0,5,0,0,34,0,0,0,2,0,41,36
34,0,1,0,5,0,0,34,0,0,0,3,0,40,37
34,0,1,1,3,0,0,33,0,2,1,2,0,39,38
39,0,1,0,3,0,0,31,0,0,0,0,0,43,31
31,0,0,1,3,0,0,34,0,0,1,1,0,35,36
33,0,1,2,5,1,0,35,0,0,0,1,0,42,36
38,0,1,1,4,0,0,33,0,1,0,4,0,44,38
39,0,0,0,3,0,0,30,0,0,0,1,0,42,31
33,0,0,0,1,0,0,34,0,0,1,1,0,34,36
40,0,0,0,5,0,0,34,0,0,0,2,0,45,36
32,0,0,1,2,0,0,33,0,0,0,2,0,35,35
33,0,0,1,6,0,0,37,0,0,1,3,0,40,41
35,0,0,1,5,0,0,31,0,0,2,6,0,41,39
32,0,0,0,9,0,0,32,0,0,0,4,0,41,36
43,0,0,1,3,0,0,40,1,1,0,5,0,47,47
37,1,0,0,4,0,0,32,0,0,0,4,0,42,36
38,0,0,0,3,0,0,33,0,1,1,2,0,41,37
31,0,0,2,2,0,0,34,0,0,0,1,0,35,35
37,0,0,2,17,0,0,39,0,1,0,4,0,56,44
33,0,0,0,4,0,0,30,0,0,1,5,0,37,36
35,0,0,0,1,0,0,33,0,0,0,7,0,36,40
31,0,0,0,5,0,0,37,0,1,0,7,0,36,45
29,0,0,0,6,0,0,31,0,0,1,3,0,35,35
31,0,1,1,3,0,0,30,0,0,0,0,0,36,30
37,0,0,1,3,0,0,35,0,1,1,6,1,41,44
37,0,0,0,6,0,0,32,1,1,0,7,1,43,42
36,0,0,1,5,0,0,38,0,0,0,0,0,42,38
36,0,0,2,3,0,1,32,0,0,1,5,0,42,38
36,1,0,1,10,0,0,39,0,1,0,3,1,48,44
42,0,0,0,5,0,0,40,0,0,0,2,0,47,42
32,0,0,1,3,0,0,34,0,1,0,4,0,36,39
40,0,0,2,4,0,0,38,0,0,0,2,0,46,40
31,0,0,0,0,0,0,31,0,0,1,5,0,31,37
32,0,0,1,2,0,0,30,1,0,4,3,0,35,38
32,0,0,2,2,0,0,33,0,0,2,6,0,36,41
35,0,0,0,3,0,0,30,0,0,1,6,1,38,38
50,0,0,1,5,0,0,32,0,2,0,3,0,56,37
38,0,0,0,2,0,0,34,0,0,0,4,0,40,38
33,1,0,0,0,0,0,29,0,0,1,1,0,34,31
30,0,1,0,3,0,0,33,0,0,0,2,0,34,35
37,0,1,0,4,0,0,40,0,0,0,5,2,42,47
36,0,0,0,1,0,0,34,1,1,1,3,0,37,40
27,0,0,0,3,0,0,28,0,0,1,1,0,30,30
39,0,1,0,7,1,0,32,0,0,0,3,0,48,35
36,0,1,1,2,0,0,29,0,0,1,7,0,40,37
33,0,1,0,2,0,0,33,1,0,0,3,0,36,37
27,1,0,0,1,0,0,30,0,0,1,2,0,29,33
34,0,0,0,7,0,0,38,0,0,1,7,0,41,46
30,0,0,0,0,0,0,26,0,0,0,5,0,30,31
38,0,0,1,6,0,0,32,0,0,0,4,0,45,36
35,0,0,0,2,0,0,31,1,0,2,4,0,37,38
43,1,1,1,2,0,0,33,0,1,1,4,0,48,39
39,0,0,1,3,1,0,36,0,0,0,0,0,44,36
32,1,0,1,3,0,0,31,0,0,1,0,0,37,32
32,0,0,1,4,0,0,32,0,0,0,1,0,37,33
29,0,0,0,4,0,0,31,0,0,2,0,0,33,33
36,0,1,1,1,0,0,34,0,1,0,5,0,39,40
32,0,0,0,3,0,0,33,0,1,0,3,0,35,37
31,0,0,1,4,0,0,29,0,0,0,2,0,36,31
44,0,1,0,2,0,0,34,0,0,0,0,0,47,34
38,0,0,0,5,0,0,31,0,0,0,2,0,43,33
41,0,1,3,1,0,0,31,0,0,1,2,0,46,34
33,0,0,0,6,0,0,36,1,0,0,3,0,39,40
31,0,0,0,0,0,0,31,0,1,0,7,0,31,39
33,0,0,0,2,0,0,30,1,1,0,1,0,35,33
34,0,0,1,5,0,0,30,0,0,2,3,0,40,35
40,0,0,0,1,0,0,35,0,0,0,8,0,41,43
30,0,0,0,4,0,0,32,0,0,1,0,0,34,33
32,0,2,3,4,0,0,43,0,0,0,3,0,41,46
40,0,0,0,5,0,0,35,0,0,1,0,0,45,36
27,0,0,1,1,0,0,26,0,0,0,3,0,29,29
33,1,0,0,2,0,0,38,0,1,0,1,0,36,40
29,1,0,0,0,0,0,28,0,0,0,3,0,30,31
33,0,0,0,2,0,0,36,0,0,0,1,0,35,37
35,0,1,1,8,0,0,33,0,1,0,1,0,45,35
33,0,1,1,1,0,1,29,0,1,0,7,0,37,37
36,0,0,1,5,0,0,28,0,0,0,5,0,42,33
38,0,0,0,3,1,0,37,0,2,1,6,0,42,46
37,0,0,0,5,0,0,30,1,0,0,5,0,42,36
44,0,1,1,5,0,0,32,0,1,1,7,0,51,41
34,0,1,0,4,0,0,31,0,1,0,5,1,39,38
39,0,0,2,3,0,0,43,0,0,1,4,2,44,50
30,0,0,0,3,0,0,28,0,0,0,3,0,33,31
37,0,1,0,3,0,0,36,0,0,0,9,0,41,45
30,0,0,0,5,0,0,33,0,0,0,3,0,35,36
37,0,0,2,4,0,0,32,0,1,1,3,0,43,37
36,0,0,1,1,0,0,31,0,0,0,2,0,38,33
30,0,0,1,5,0,0,34,0,0,0,1,0,36,35
30,0,0,0,3,0,0,31,0,0,1,2,0,33,34
38,0,1,0,6,0,1,34,0,1,0,0,0,46,35
35,0,0,2,5,0,0,32,0,1,2,5,1,42,41
36,0,1,1,7,0,0,30,0,0,1,3,0,45,34
35,0,0,0,1,0,0,33,0,0,1,1,0,36,35
34,0,0,0,4,0,0,39,0,0,0,1,0,38,40
34,0,0,0,5,1,0,31,0,0,2,4,0,40,37
33,1,0,0,4,0,0,33,0,0,0,5,0,38,38
32,0,1,0,2,0,0,27,0,0,0,3,0,35,30
